evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh
0,21749,240,2,6,-0.000698,-0.000510,-0.299509,0.007322,0.003532,0.008438,-0.014415,0.000710 
1,21749,226,2,4,-0.000698,-0.000510,-0.034099,-0.009096,0.000474,0.011837,-0.007623,0.009412 
2,21749,228,4,4,-0.000698,-0.000510,-0.033864,-0.005791,-0.012076,0.017450,0.019544,0.009412 
3,21749,239,1,6,-0.000698,-0.000510,-0.046881,0.006700,0.011004,0.007805,-0.027998,0.000710 
4,21749,263,4,9,-0.000698,-0.000510,-0.316849,0.016836,-0.012286,-0.011925,0.012752,-0.011790 
5,21749,232,1,5,-0.000698,-0.000510,-0.217762,0.004211,0.009017,0.015613,-0.027998,0.006961 
6,21749,227,3,4,-0.000698,-0.000510,-0.037115,-0.008113,-0.004550,0.012441,0.005960,0.009412 
7,21749,234,3,5,-0.000698,-0.000510,-0.034272,-0.006029,-0.001512,0.010589,-0.000831,0.006961 
8,21749,254,2,8,-0.000698,-0.000510,-0.045446,0.012228,0.004878,0.001094,-0.014415,-0.005540 
9,21749,242,4,6,-0.000698,-0.000510,-0.028833,0.004572,-0.010414,0.006860,0.012752,0.000710 
10,21749,261,2,9,-0.000698,-0.000510,-0.221149,0.017144,0.004062,-0.006104,-0.014415,-0.011790 
11,21749,225,1,4,-0.000698,-0.000510,-0.034232,-0.005861,0.006135,0.013248,-0.021206,0.009412 
12,21749,224,0,4,-0.000698,-0.000510,-0.038547,0.000614,0.013483,0.014778,-0.034790,0.009412 
13,21749,218,1,3,-0.000698,-0.000510,-0.030539,-0.006162,0.008867,0.016061,-0.027998,0.011863 
14,21749,277,4,11,-0.000698,-0.000510,-0.023703,0.024390,-0.013051,-0.015297,0.012752,-0.017979 
15,21749,217,0,3,-0.000698,-0.000510,-0.176471,0.005166,0.014933,0.022552,-0.041582,0.011863 
16,21749,234,3,5,-0.000698,-0.000510,-0.042491,-0.004855,-0.002862,0.010448,-0.000831,0.006961 
17,21749,241,3,6,-0.000698,-0.000510,-0.087526,0.003233,-0.002746,0.006124,-0.000831,0.000710 
18,21749,248,3,7,-0.000698,-0.000510,-0.092414,0.008037,-0.007685,0.002356,0.005960,-0.002415 
19,21749,243,5,6,-0.000698,-0.000510,-0.155583,0.009535,-0.019795,0.008870,0.026335,0.000710 
20,21749,240,2,6,-0.000698,-0.000510,-0.049962,0.003846,0.004290,0.004814,-0.014415,0.000710 
21,21749,227,3,4,-0.000698,-0.000510,-0.036190,-0.007770,-0.004899,0.012588,0.005960,0.009412 
22,21749,247,2,7,-0.000698,-0.000510,-0.125569,0.007945,0.000738,0.001731,-0.007623,-0.002415 
23,21749,221,4,3,-0.000698,-0.000510,-0.040237,-0.010496,-0.007127,0.017305,0.012752,0.011863 
