evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21757,340,4,6,0.000289,-0.001488,-0.354198,0.009094,-0.009835,0.007728,0.011155,-0.000294,0.011188382748514414,-0.00029417229461614625
1,21757,318,3,3,0.000289,-0.001488,-0.188641,-0.005831,-0.001433,0.017675,-0.002426,0.010857,-0.0025336264334328007,0.010870271726162173
2,21757,347,4,7,0.000289,-0.001488,-0.154509,0.010917,-0.014577,0.003936,0.017946,-0.003419,0.017922361352248117,-0.0034189572688774206
3,21757,338,2,6,0.000289,-0.001488,-0.164213,0.006205,0.004064,0.006039,-0.016008,-0.000294,-0.015972023189533502,-0.00029625272554767434
4,21757,331,2,5,0.000289,-0.001488,-0.159735,-0.001109,0.003901,0.011925,-0.016008,0.005956,-0.01601146932807751,0.005952222098130733
5,21757,326,4,4,0.000289,-0.001488,-0.335457,0.003834,-0.011799,0.019596,0.017946,0.008407,0.017865353293018416,0.008442780206678435
6,21757,344,1,7,0.000289,-0.001488,-0.394957,0.013376,0.007329,0.0046,-0.022799,-0.003419,-0.022469836723757908,-0.003486600093310699
7,21757,345,2,7,0.000289,-0.001488,-0.163819,0.008636,0.000817,0.003035,-0.009217,-0.003419,-0.009180506356642582,-0.0034198130379081704
8,21757,326,4,4,0.000289,-0.001488,-0.16522,-0.000742,-0.012255,0.018895,0.017946,0.008407,0.01822479863767512,0.008413343137362972
9,21757,326,4,4,0.000289,-0.001488,-0.163311,-0.001388,-0.011112,0.01825,0.017946,0.008407,0.017947865067981184,0.00839998216542881
10,21757,332,3,5,0.000289,-0.001488,-0.160785,-0.001068,-0.002576,0.012204,-0.002426,0.005956,-0.0024264778330689296,0.0059523769523366354
11,21757,316,1,3,0.000289,-0.001488,-0.153465,-0.001589,0.008245,0.018588,-0.02959,0.010857,-0.029233987268526107,0.010850035527255386
12,21757,373,2,11,0.000289,-0.001488,-0.200799,0.02184,0.006238,-0.014567,-0.016008,-0.018982,-0.015970779029885307,-0.01898051187163219
