evtID,runID,CutID,SieveRowID,SieveColID,bpmX,bpmY,focal_x,focal_y,focal_th,focal_ph,targCalTh,targCalPh,predicted_theta,predicted_phi
0,21749,240,2,6,-0.000698,-0.00051,-0.299509,0.007322,0.003532,0.008438,-0.014415,0.00071,-0.01448087184689939,0.00048414993932510697
1,21749,226,2,4,-0.000698,-0.00051,-0.034099,-0.009096,0.000474,0.011837,-0.007623,0.009412,-0.007475611288100481,0.009239943770808168
2,21749,228,4,4,-0.000698,-0.00051,-0.033864,-0.005791,-0.012076,0.01745,0.019544,0.009412,0.020173105876892805,0.00908754464762751
3,21749,239,1,6,-0.000698,-0.00051,-0.046881,0.0067,0.011004,0.007805,-0.027998,0.00071,-0.027354398393072188,0.0003481618700789113
4,21749,263,4,9,-0.000698,-0.00051,-0.316849,0.016836,-0.012286,-0.011925,0.012752,-0.01179,0.012702742635156028,-0.011865132531966083
5,21749,232,1,5,-0.000698,-0.00051,-0.217762,0.004211,0.009017,0.015613,-0.027998,0.006961,-0.0274839861667715,0.006502851581899449
6,21749,227,3,4,-0.000698,-0.00051,-0.037115,-0.008113,-0.00455,0.012441,0.00596,0.009412,0.005658963804307859,0.009057045768713579
7,21749,234,3,5,-0.000698,-0.00051,-0.034272,-0.006029,-0.001512,0.010589,-0.000831,0.006961,-0.0012505285867518978,0.006972487681196071
8,21749,254,2,8,-0.000698,-0.00051,-0.045446,0.012228,0.004878,0.001094,-0.014415,-0.00554,-0.014278171554906294,-0.0072123196587199345
9,21749,242,4,6,-0.000698,-0.00051,-0.028833,0.004572,-0.010414,0.00686,0.012752,0.00071,0.012980091123608872,0.00012736809372881908
10,21749,261,2,9,-0.000698,-0.00051,-0.221149,0.017144,0.004062,-0.006104,-0.014415,-0.01179,-0.013579695572843775,-0.01244153137668036
11,21749,225,1,4,-0.000698,-0.00051,-0.034232,-0.005861,0.006135,0.013248,-0.021206,0.009412,-0.021021180029492825,0.009221979387803003
12,21749,224,0,4,-0.000698,-0.00051,-0.038547,0.000614,0.013483,0.014778,-0.03479,0.009412,-0.03462260105879977,0.008702918989001773
13,21749,218,1,3,-0.000698,-0.00051,-0.030539,-0.006162,0.008867,0.016061,-0.027998,0.011863,-0.028000564430840313,0.011511124219396152
14,21749,277,4,11,-0.000698,-0.00051,-0.023703,0.02439,-0.013051,-0.015297,0.012752,-0.017979,0.012991839612368494,-0.01804260551580228
15,21749,217,0,3,-0.000698,-0.00051,-0.176471,0.005166,0.014933,0.022552,-0.041582,0.011863,-0.04152548703132197,0.011652192362817004
16,21749,234,3,5,-0.000698,-0.00051,-0.042491,-0.004855,-0.002862,0.010448,-0.000831,0.006961,-0.000530845669345581,0.006302462323219515
17,21749,241,3,6,-0.000698,-0.00051,-0.087526,0.003233,-0.002746,0.006124,-0.000831,0.00071,-0.0010354647638450842,4.0815702448071534e-05
18,21749,248,3,7,-0.000698,-0.00051,-0.092414,0.008037,-0.007685,0.002356,0.00596,-0.002415,0.007039285264909267,-0.003049392984394217
19,21749,243,5,6,-0.000698,-0.00051,-0.155583,0.009535,-0.019795,0.00887,0.026335,0.00071,0.02695234282873571,-0.00013199103659644607
20,21749,240,2,6,-0.000698,-0.00051,-0.049962,0.003846,0.00429,0.004814,-0.014415,0.00071,-0.014248938619857654,0.0002544169616385261
21,21749,227,3,4,-0.000698,-0.00051,-0.03619,-0.00777,-0.004899,0.012588,0.00596,0.009412,0.005979258618026506,0.008837685221806169
22,21749,247,2,7,-0.000698,-0.00051,-0.125569,0.007945,0.000738,0.001731,-0.007623,-0.002415,-0.0077093405270716175,-0.002873868950700853
23,21749,221,4,3,-0.000698,-0.00051,-0.040237,-0.010496,-0.007127,0.017305,0.012752,0.011863,0.012503363948781043,0.011813077275292017
24,21749,226,2,4,-0.000698,-0.00051,-0.035157,-0.00888,0.000664,0.012414,-0.007623,0.009412,-0.0076486886537168175,0.009409525475348346
25,21749,228,4,4,-0.000698,-0.00051,-0.033968,-0.00579,-0.010877,0.017402,0.019544,0.009412,0.019528343487763777,0.008969436181359924
26,21749,236,5,5,-0.000698,-0.00051,-0.026672,0.000545,-0.017557,0.016735,0.026335,0.006961,0.02746583626139909,0.006330621428787708
27,21749,260,1,9,-0.000698,-0.00051,-0.063525,0.019299,0.014678,-0.003102,-0.027998,-0.01179,-0.028929496998898685,-0.012636585102882236
28,21749,245,0,7,-0.000698,-0.00051,-0.056549,0.011448,0.016958,0.006288,-0.03479,-0.002415,-0.03468265163246542,-0.0025244359894713853
29,21749,256,4,8,-0.000698,-0.00051,-0.330595,0.012877,-0.01169,-0.001724,0.012752,-0.00554,0.013426818186417222,-0.005794974931632169
30,21749,236,5,5,-0.000698,-0.00051,-0.255656,0.005379,-0.016482,0.018589,0.026335,0.006961,0.02565965405665338,0.006476931288489141
31,21749,249,4,7,-0.000698,-0.00051,-0.025098,0.009759,-0.015066,0.002434,0.019544,-0.002415,0.019304322864627466,-0.002955492072942434
32,21749,228,4,4,-0.000698,-0.00051,-0.03246,-0.004836,-0.010598,0.015882,0.019544,0.009412,0.0188826666562818,0.008704054518602788
33,21749,241,3,6,-0.000698,-0.00051,-0.034258,0.003288,-0.001886,0.004637,-0.000831,0.00071,-0.0009058562936843373,0.0001315382952498112
34,21749,234,3,5,-0.000698,-0.00051,-0.034715,-0.004915,-0.002791,0.010027,-0.000831,0.006961,-0.00026572161141302786,0.006398010504199192
35,21749,256,4,8,-0.000698,-0.00051,-0.352109,0.013297,-0.011095,-0.000504,0.012752,-0.00554,0.012984480417799205,-0.005795001416117884
36,21749,247,2,7,-0.000698,-0.00051,-0.041191,0.007049,0.001254,0.002114,-0.007623,-0.002415,-0.008121912469505332,-0.0031713870994281024
